sessionid,medium,session_start_time,session_end_time,log_in_status,session_with_order,member_tier,eventaction,pagetype,page_duration,p_personal_care,p_skincare,p_cosmetics,p_health_care,p_body_hair_care,p_sport,p_men,p_other,p_derma,p_watsons_brand,p_bulk_buy,b_personal_care,b_skincare,b_cosmetics,b_health_care,b_body_hair_care,b_sport,b_men,b_other,b_derma,b_watsons_brand,b_bulk_buy
E4F022DFA1B044B972CBF173F272E79C.twpfa32n,referral,5/23/20 11:00 PM,05:00.0,N,N,anonymous,Pageview,Other,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Other,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Other,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Other,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Other,7.5,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,30,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,30,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Category,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Product,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Checkout,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Checkout,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Checkout,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Checkout,10,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,OrderPlacedEvent,NULL,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Checkout,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,Pageview,Checkout,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
9BF613367F4BC53313A6A39EAFDB5CED.twpfa115n,email,5/23/20 11:01 PM,07:00.0,Y,Y,Member,OrderPlacedEvent,NULL,15,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Homepage,20,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Homepage,20,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Other,20,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Product,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Other,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Product,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Other,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Other,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,15,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,MyAccount,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,MyAccount,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,60,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,20,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Homepage,20,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,20,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,120,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,OrderPlacedEvent,NULL,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
D538A9B469888A54DC2E14B5B998359A.twpfa113n,cpc,5/23/20 11:01 PM,13:00.0,Y,Y,Member,Pageview,Checkout,30,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
0467D5284AE62C34DACBA48C1A4483B8.twpfa38n,organic,5/23/20 11:02 PM,02:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
4C6B268569E91F633CE57489BE7CAD91.twpfa43n,organic,5/23/20 11:02 PM,02:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
D38C075DF8F4B90F849EF50BCE6AB334.twpfa33n,organic,5/23/20 11:02 PM,02:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
7BED783210DA46A50813A1193D289F7C.twpfa119n,organic,5/23/20 11:03 PM,03:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
878174EF7E00976AF5153CEFFA0D2C7A.twpfa117n,organic,5/23/20 11:03 PM,03:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
ADF5C09C2792B18E3F2985736608B126.twpfa48n,web_push,5/23/20 11:03 PM,03:00.0,N,N,anonymous,Pageview,Category,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,480,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Product,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Product,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,20,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,20,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Product,20,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Product,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Product,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,420,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,60,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Checkout,30,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,MyAccount,12,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,MyAccount,12,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,MyAccount,12,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,12,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,12,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,20,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,MyAccount,20,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,MyAccount,20,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Other,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FA9D857E6947183624CF65D9898284F7.twpfa39n,cpc,5/23/20 11:04 PM,51:00.0,Y,Y,Elite,Pageview,Homepage,15,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
