sessionid,medium,session_start_time,userid,log_in_status,session_with_order,member_tier,eventaction,tstamp,pagetype,page_order,page_order_desc,page_view_in_minutes,page_duration,p_personal_care,p_skincare,p_cosmetics,p_health_care,p_body_hair_care,p_sport,p_men,p_other,p_derma,p_watsons_brand,p_bulk_buy,b_personal_care,b_skincare,b_cosmetics,b_health_care,b_body_hair_care,b_sport,b_men,b_other,b_derma,b_watsons_brand,b_bulk_buy
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,05:00.0,Product,11,38,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,05:00.0,Category,12,37,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,09:00.0,Product,13,36,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,09:00.0,Category,14,35,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,09:00.0,Category,15,34,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,10:00.0,Category,16,33,1,660,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,21:00.0,Checkout,17,32,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,21:00.0,Checkout,18,31,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,23:00.0,Checkout,19,30,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,24:00.0,Checkout,20,29,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,25:00.0,Checkout,21,28,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,26:00.0,Category,22,27,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,27:00.0,Category,23,26,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,28:00.0,Product,24,25,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,29:00.0,Checkout,25,23,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,29:00.0,Checkout,26,24,2,30,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,30:00.0,Checkout,27,22,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,31:00.0,Checkout,28,21,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,32:00.0,Other,29,20,1,60,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,33:00.0,Other,30,19,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,33:00.0,Checkout,31,18,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,33:00.0,Checkout,32,17,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,35:00.0,Checkout,33,16,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,35:00.0,Other,34,15,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,35:00.0,Other,35,14,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,35:00.0,Other,36,13,4,15,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Checkout,38,11,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Other,37,12,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Homepage,39,10,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Other,40,9,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Category,41,8,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Category,42,4,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Category,43,7,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Homepage,44,6,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,36:00.0,Category,45,5,9,6.666666667,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,37:00.0,MyAccount,46,3,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,37:00.0,Homepage,47,2,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
448EA34A53F0BD5C63BF9081AA3A01E3.twpfa35n,cpc,5/23/2020 12:00,e6d780fc-704d-4fa3-b752-1054bbcf4f15,Y,N,Member,Pageview,37:00.0,MyAccount,48,1,3,20,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,01:00.0,Other,1,190,6,10,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,01:00.0,Other,2,189,6,10,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,01:00.0,Product,3,194,6,10,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,01:00.0,Product,4,193,6,10,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,01:00.0,Product,5,192,6,10,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,01:00.0,Product,6,191,6,10,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Other,13,175,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Other,7,181,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Other,8,180,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Homepage,9,179,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,10,178,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,11,177,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,12,176,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Other,14,183,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Homepage,15,184,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,16,185,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Product,17,186,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Product,18,187,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Homepage,19,188,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Homepage,20,167,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,21,182,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,22,168,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Product,23,169,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Product,24,170,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Other,25,171,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Other,26,172,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,27,173,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,02:00.0,Category,28,174,22,2.727272727,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Checkout,32,162,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Checkout,33,163,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Checkout,30,160,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Homepage,34,164,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Checkout,35,165,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Checkout,36,166,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Homepage,29,159,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,03:00.0,Checkout,31,161,8,7.5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,04:00.0,Other,44,156,10,6,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,affiliates_display,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,04:00.0,Checkout,37,149,10,6,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,04:00.0,Checkout,38,150,10,6,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,04:00.0,Other,39,151,10,6,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70C399E9D031560E5A165545E037966D.twpfa113n,web_push,5/23/2020 12:01,94be947d-a6a0-4483-8ac9-adb0b9a2020e,Y,Y,Member,Pageview,04:00.0,Checkout,40,152,10,6,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
